,"CD_i_SIG","CD_i_TILE","CD_ni_SIG","CD_ni_TILE","Ctrl_ni_SIG","Ctrl_ni_TILE","DC_i_SIG","DC_i_TILE","DC_ni_SIG","DC_ni_TILE","UC_i_SIG","UC_i_TILE","UC_ni_SIG","UC_ni_TILE"
112724,1,0,1,1,1,0,1,0,1,0,1,0,1,0
125965,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1576,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1551,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11282,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162417,0,1,0,1,0,1,0,1,0,1,0,1,0,1
113026,1,0,1,0,1,0,1,0,1,0,1,0,1,0
51005,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80150,1,1,1,0,1,0,1,1,1,0,1,1,1,0
6512,0,1,0,1,0,1,0,1,0,1,0,1,0,1
249,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28982,0,1,0,1,0,1,0,1,0,1,0,1,0,1
23498,0,0,0,1,0,1,0,0,0,1,0,0,0,1
248,0,1,0,1,0,1,0,1,0,1,0,1,0,1
10654,0,0,0,1,0,0,0,0,0,0,0,0,0,0
476,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6514,0,1,0,1,0,1,0,1,0,1,0,1,0,1
441024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54716,0,1,0,1,0,1,0,1,0,1,0,1,0,1
23305,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6522,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57094,1,0,1,0,1,0,1,0,1,0,0,0,1,0
216,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2203,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118881,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1557,0,1,0,1,0,1,0,1,0,1,0,1,0,1
3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84706,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81693,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1152,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80168,0,0,0,1,0,1,0,0,0,1,0,0,0,1
51700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197257,1,0,1,0,1,0,1,0,1,0,1,0,1,0
290,0,1,0,1,0,1,0,1,0,1,0,1,0,1
79837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2879,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2819,0,1,0,1,0,1,0,1,0,1,0,1,0,1
29785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124935,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8435,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1632,0,0,0,1,0,0,0,0,0,0,0,0,0,0
956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
